Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
3,3:11,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,36,0,0.000,-0.280
3,2:58,1,10,DEN 20,Peyton Manning pass complete short middle to Montee Ball for 4 yards (tackle by Kam Chancellor). Penalty on Chris Clark: Offensive Holding 10 yards (no play),36,0,0.280,-0.760
3,2:43,1,20,DEN 10,Peyton Manning pass complete short middle to Wes Welker for 3 yards (tackle by K.J. Wright),36,0,-0.760,-1.280
3,2:08,2,17,DEN 13,Peyton Manning pass complete short middle to Julius Thomas for 8 yards (tackle by Kam Chancellor and Walter Thurmond),36,0,-1.280,-0.820
3,1:34,3,9,DEN 21,Peyton Manning pass incomplete deep left intended for Demaryius Thomas (defended by Byron Maxwell). Penalty on Byron Maxwell: Defensive Pass Interference 20 yards (no play),36,0,-0.820,1.660
3,1:28,1,10,DEN 41,Peyton Manning pass complete short left to Wes Welker for 12 yards (tackle by Bobby Wagner),36,0,1.660,2.460
3,1:02,1,10,SEA 47,Peyton Manning pass complete short middle to Jacob Tamme for 11 yards (tackle by Earl Thomas),36,0,2.460,3.180
3,0:29,1,10,SEA 36,Peyton Manning pass complete short left to Wes Welker for 22 yards (tackle by Earl Thomas),36,0,3.180,4.650
3,0:03,1,10,SEA 14,Peyton Manning pass complete short left to Demaryius Thomas for 14 yards touchdown,36,6,4.650,7.000
3,0:03,,,,Two Point Attempt: Peyton Manning pass complete to Wes Welker conversion succeeds,36,8,0.000,1.000
4,,,,DEN 35,Matt Prater kicks onside 13 yards recovered by Zach Miller,36,8,0.000,2.390
4,14:59,1,10,DEN 48,Robert Turbin left end for 33 yards (tackle by Mike Adams). Penalty on Alvin Bailey: Offensive Holding 10 yards (no play),36,8,2.390,1.730
4,14:39,1,20,SEA 42,Russell Wilson pass complete short right to Zach Miller for 10 yards (tackle by Danny Trevathan and Duke Ihenacho),36,8,1.730,1.850
4,13:57,2,10,DEN 48,Russell Wilson pass complete short left to Golden Tate for 8 yards (tackle by Paris Lenon and Malik Jackson),36,8,1.850,2.210
4,13:33,3,2,DEN 40,Russell Wilson pass complete short right to Doug Baldwin for 6 yards (tackle by Champ Bailey),36,8,2.210,3.310
