Quarter,Time,Down,ToGo,Location,Detail,SEA,SFO,EPB,EPA
3,10:58,1,10,SFO 42,Marshawn Lynch right end for 33 yards (tackle by Eric Reid),13,0,2.790,5.140
3,10:26,1,9,SFO 9,Robert Turbin up the middle for 2 yards (tackle by Tank Carradine),13,0,5.140,4.760
3,9:44,2,7,SFO 7,Russell Wilson pass complete short right to Paul Richardson for 7 yards. Penalty on Robert Turbin: Offensive Pass Interference 10 yards (no play),13,0,4.760,3.240
3,9:39,2,17,SFO 17,Russell Wilson left end for 1 yard (tackle by Aaron Lynch),13,0,3.240,2.850
3,8:55,3,16,SFO 16,Russell Wilson sacked by Justin Smith for -1 yards,13,0,2.850,2.310
3,8:10,4,17,SFO 17,Steven Hauschka 35 yard field goal good,16,0,2.310,3.000
3,8:10,,,SEA 35,Steven Hauschka kicks off 68 yards returned by Carlos Hyde for 22 yards (tackle by Mike Morgan),16,0,0.000,-0.150
3,7:58,1,10,SFO 19,Colin Kaepernick pass incomplete deep right intended for Michael Crabtree. Penalty on Cliff Avril: Defensive Holding 5 yards (no play),16,0,0.150,0.540
3,7:52,1,10,SFO 24,Frank Gore up the middle for 5 yards (tackle by Tony McDaniel),16,0,0.540,0.670
3,7:16,2,5,SFO 29,Colin Kaepernick pass complete short left to Vernon Davis for 10 yards (tackle by Byron Maxwell),16,0,0.670,1.530
3,6:43,1,10,SFO 39,Carlos Hyde right end for 3 yards (tackle by Richard Sherman and Kam Chancellor),16,0,1.530,1.390
3,6:05,2,7,SFO 42,Colin Kaepernick left end for 3 yards (tackle by K.J. Wright),16,0,1.390,1.090
3,5:19,3,4,SFO 45,Colin Kaepernick pass incomplete short right intended for Michael Crabtree. Penalty on Richard Sherman: Defensive Holding 5 yards (no play),16,0,1.090,2.260
3,5:13,1,10,50,Carlos Hyde up the middle for 12 yards (tackle by Kam Chancellor),16,0,2.260,3.050
3,4:31,1,10,SEA 38,Colin Kaepernick sacked by Bruce Irvin for -6 yards,16,0,3.050,1.700
3,4:09,2,16,SEA 44,Colin Kaepernick pass complete short middle to Frank Gore for 8 yards (tackle by Earl Thomas),16,0,1.700,2.080
3,3:25,3,8,SEA 36,Colin Kaepernick pass incomplete deep left intended for Michael Crabtree. Penalty on Cliff Avril: Defensive Offside 5 yards (no play),16,0,2.080,2.740
3,3:19,3,3,SEA 31,Colin Kaepernick pass complete short left to Anquan Boldin for 10 yards (tackle by Earl Thomas),16,0,2.740,4.170
3,2:39,1,10,SEA 21,Colin Kaepernick pass incomplete deep left intended for Bruce Miller,16,0,4.170,3.630
3,2:33,2,10,SEA 21,Carlos Hyde right tackle for 2 yards (tackle by Bobby Wagner),16,0,3.630,3.180
3,1:52,3,8,SEA 19,Colin Kaepernick sacked by Michael Bennett for -3 yards,16,0,3.180,1.990
3,1:11,4,11,SEA 22,Phil Dawson 40 yard field goal good,16,3,1.990,3.000
3,1:11,,,SFO 35,Phil Dawson kicks off 65 yards touchback,16,3,0.000,-0.280
3,1:06,1,10,SEA 20,Marshawn Lynch up the middle for 16 yards (tackle by Aaron Lynch),16,3,0.280,1.330
3,0:35,1,10,SEA 36,Christine Michael up the middle for 4 yards (tackle by Antoine Bethea and Justin Smith),16,3,1.330,1.330
4,15:00,2,6,SEA 40,Russell Wilson pass complete deep right to Jermaine Kearse for 17 yards (tackle by Chris Culliver),16,3,1.330,2.720
4,14:34,1,10,SFO 43,Russell Wilson right tackle for 3 yards (tackle by Quinton Dial),16,3,2.720,2.580
4,13:55,2,7,SFO 40,Marshawn Lynch left tackle for no gain (tackle by Chris Borland and Aldon Smith),16,3,2.580,1.880
4,13:11,3,7,SFO 40,Russell Wilson pass complete short right to Luke Willson for 8 yards (tackle by Chris Borland),16,3,1.880,3.450
4,12:28,1,10,SFO 32,Russell Wilson for no gain. Russell Wilson fumbles recovered by Marshawn Lynch at SFO-32,16,3,3.450,2.900
4,11:46,2,10,SFO 32,Russell Wilson sacked by Aaron Lynch for -8 yards,16,3,2.900,1.160
4,11:02,3,18,SFO 40,Russell Wilson right tackle for 12 yards (tackle by Chris Borland),16,3,1.160,1.610
4,10:16,4,6,SFO 28,Steven Hauschka 46 yard field goal good,19,3,1.610,3.000
4,10:16,,,SEA 35,Steven Hauschka kicks off 68 yards returned by Carlos Hyde for 24 yards (tackle by Earl Thomas),19,3,0.000,-0.340
4,10:05,1,10,SFO 21,Colin Kaepernick pass incomplete deep left intended for Anquan Boldin,19,3,0.340,-0.200
4,10:00,2,10,SFO 21,Colin Kaepernick up the middle for 9 yards (tackle by K.J. Wright),19,3,-0.200,0.300
4,9:16,3,1,SFO 30,Frank Gore left guard for 2 yards (tackle by Bruce Irvin),19,3,0.300,1.070
4,8:46,1,10,SFO 32,Colin Kaepernick pass complete short middle to Michael Crabtree for 3 yards (tackle by K.J. Wright),19,3,1.070,0.930
4,8:24,2,7,SFO 35,Colin Kaepernick pass incomplete short middle intended for Anquan Boldin. Penalty on Byron Maxwell: Defensive Holding 5 yards (no play),19,3,0.930,1.600
4,8:20,1,10,SFO 40,Colin Kaepernick pass incomplete short right intended for Steve Johnson,19,3,1.600,1.050
