Quarter,Time,Down,ToGo,Location,Detail,SEA,ARI,EPB,EPA
4,12:05,,,,Steven Hauschka kicks extra point good,21,6,0.000,0.000
4,12:05,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,21,6,0.000,-0.280
4,11:59,1,10,CRD 20,Ryan Lindley pass incomplete short middle intended for Larry Fitzgerald,21,6,0.280,-0.270
4,11:55,2,10,CRD 20,Ryan Lindley pass complete short middle to Darren Fells for 11 yards (tackle by Bobby Wagner),21,6,-0.270,1.000
4,11:16,1,10,CRD 31,Ryan Lindley pass incomplete short right intended for Marion Grice (defended by Kam Chancellor),21,6,1.000,0.460
4,11:11,2,10,CRD 31,Ryan Lindley pass incomplete short left intended for Michael Floyd,21,6,0.460,-0.230
4,11:08,3,10,CRD 31,Ryan Lindley pass complete short middle to Jaron Brown for 6 yards (tackle by Richard Sherman),21,6,-0.230,-0.910
4,10:37,4,4,CRD 37,Drew Butler punts 37 yards fair catch by Bryan Walters,21,6,-0.910,-0.670
4,10:30,1,10,SEA 26,Penalty on Justin Britt: False Start 5 yards (no play),21,6,0.670,0.340
4,10:30,1,15,SEA 21,Marshawn Lynch up the middle for 79 yards touchdown,27,6,0.340,7.000
4,10:30,,,,Steven Hauschka kicks extra point good,28,6,0.000,0.000
4,10:30,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,28,6,0.000,-0.280
4,10:14,1,10,CRD 20,Ryan Lindley pass complete deep left to John Brown for 16 yards (tackle by Byron Maxwell),28,6,0.280,1.330
4,9:50,1,10,CRD 36,Ryan Lindley pass complete deep left to John Brown for 24 yards (tackle by Earl Thomas),28,6,1.330,2.920
4,9:28,1,10,SEA 40,Ryan Lindley pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Jeremy Lane),28,6,2.920,3.320
4,9:09,2,3,SEA 33,Ryan Lindley pass incomplete deep right intended for Michael Floyd is intercepted by Richard Sherman at SEA-7 and returned for 53 yards. Penalty on Paul Fanaika: Offensive Holding (Declined),28,6,3.320,-2.920
4,8:51,1,10,CRD 40,Robert Turbin left end for -1 yards (tackle by Kevin Minter and Alex Okafor),28,6,2.920,2.240
4,8:07,2,11,CRD 41,Russell Wilson pass complete short right to Paul Richardson for 13 yards (tackle by Patrick Peterson),28,6,2.240,3.710
4,7:24,1,10,CRD 28,Robert Turbin left tackle for -1 yards (tackle by Dan Williams),28,6,3.710,3.030
4,6:42,2,11,CRD 29,Robert Turbin right tackle for 3 yards (tackle by Tommy Kelly and Larry Foote),28,6,3.030,2.740
4,6:02,3,8,CRD 26,Russell Wilson pass complete short right to Doug Baldwin for 17 yards (tackle by Tyrann Mathieu),28,6,2.740,5.140
4,5:29,1,9,CRD 9,Christine Michael up the middle for 4 yards (tackle by Tony Jefferson),28,6,5.140,5.150
4,4:49,2,5,CRD 5,Russell Wilson left end for 5 yards touchdown,34,6,5.150,7.000
4,4:49,,,,Steven Hauschka kicks extra point good,35,6,0.000,0.000
4,4:49,,,SEA 35,Steven Hauschka kicks off 73 yards returned by Ted Ginn for 29 yards (tackle by Malcolm Smith),35,6,0.000,-0.340
4,4:33,1,10,CRD 21,Marion Grice up the middle for 6 yards (tackle by Bobby Wagner),35,6,0.340,0.610
4,4:15,2,4,CRD 27,Ryan Lindley pass complete short right to Larry Fitzgerald for 5 yards (tackle by Bobby Wagner),35,6,0.610,1.070
4,3:55,1,10,CRD 32,Ryan Lindley pass incomplete short middle intended for John Carlson (defended by K.J. Wright),35,6,1.070,0.530
4,3:47,2,10,CRD 32,Ryan Lindley pass incomplete deep right intended for Michael Floyd (defended by Tharold Simon),35,6,0.530,-0.160
4,3:40,3,10,CRD 32,Ryan Lindley sacked by Michael Bennett for -7 yards,35,6,-0.160,-1.700
4,3:08,4,17,CRD 25,Drew Butler punts 52 yards fair catch by Bryan Walters,35,6,-1.700,-0.480
4,2:59,1,10,SEA 23,Christine Michael up the middle for -3 yards (tackle by Frostee Rucker),35,6,0.480,-0.470
4,2:18,2,13,SEA 20,Tarvaris Jackson pass complete short middle to Ricardo Lockette for no gain,35,6,-0.470,-1.150
4,2:00,3,13,SEA 20,Garry Gilliam for 5 yards (tackle by Tony Jefferson). Garry Gilliam fumbles (forced by Tony Jefferson) ball out of bounds at SEA-25,35,6,-1.150,-1.700
4,1:44,4,8,SEA 25,Jon Ryan punts 46 yards out of bounds,35,6,-1.700,-0.870
4,1:35,1,10,CRD 29,Ryan Lindley pass complete short left to John Carlson for 3 yards (tackle by Brock Coyle),35,6,0.870,0.730
4,1:14,2,7,CRD 32,Ryan Lindley pass complete deep right to Larry Fitzgerald for 16 yards (tackle by Tharold Simon),35,6,0.730,2.130
4,0:56,1,10,CRD 48,Ryan Lindley pass incomplete deep left intended for Larry Fitzgerald (defended by DeShawn Shead),35,6,2.130,1.580
4,0:50,2,10,CRD 48,Ryan Lindley pass incomplete deep middle intended for Larry Fitzgerald,35,6,1.580,0.890
4,0:45,3,10,CRD 48,Ryan Lindley pass complete short right to John Brown for 14 yards (tackle by Jeron Johnson),35,6,0.890,3.050
4,0:21,1,10,SEA 38,Ryan Lindley pass incomplete short left intended for Michael Floyd (defended by Jeremy Lane),35,6,3.050,2.510
4,0:21,1,10,SEA 38,Timeout #2 by Seattle Seahawks,35,6,0.000,0.000
4,0:15,2,10,SEA 38,Ryan Lindley sacked by David King for -6 yards,35,6,2.510,1.030
