Quarter,Time,Down,ToGo,Location,Detail,STL,SEA,EPB,EPA
4,14:14,2,6,50,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Marcus Roberson),6,6,1.990,2.720
4,13:30,1,10,RAM 43,Russell Wilson pass incomplete,6,6,2.720,2.180
4,13:25,2,10,RAM 43,Marshawn Lynch right tackle for 3 yards (tackle by William Hayes),6,6,2.180,1.880
4,12:47,3,7,RAM 40,Russell Wilson pass complete short left to Kevin Norwood for 31 yards (tackle by Lamarcus Joyner),6,6,1.880,5.140
4,12:12,1,9,RAM 9,Marshawn Lynch up the middle for 9 yards touchdown,6,12,5.140,7.000
4,12:12,,,,Steven Hauschka kicks extra point good,6,13,0.000,0.000
4,12:12,,,SEA 35,Steven Hauschka kicks off 70 yards returned by Benny Cunningham for 36 yards (tackle by Marcus Burley). Penalty on Will Herring: Offensive Holding 10 yards,6,13,0.000,0.220
4,12:01,1,10,RAM 15,Shaun Hill pass incomplete short right intended for Cory Harkey,6,13,-0.220,-0.710
4,11:57,2,10,RAM 15,Shaun Hill pass complete short right to Lance Kendricks for 17 yards (tackle by Bruce Irvin and Bobby Wagner),6,13,-0.710,1.070
4,11:21,1,10,RAM 32,Tre Mason left tackle for 2 yards (tackle by Bruce Irvin),6,13,1.070,0.800
4,10:40,2,8,RAM 34,Shaun Hill pass complete short middle to Tre Mason for 9 yards (tackle by Kam Chancellor),6,13,0.800,1.800
4,10:03,1,10,RAM 43,Shaun Hill pass incomplete short right intended for Lance Kendricks is intercepted by Bruce Irvin at STL-49 and returned for 49 yards touchdown,6,19,1.800,-7.000
4,9:50,,,,Steven Hauschka kicks extra point good,6,20,0.000,0.000
4,9:50,,,SEA 35,Steven Hauschka kicks off 65 yards returned by Benny Cunningham for 25 yards (tackle by DeShawn Shead),6,20,0.000,-0.610
4,9:43,1,10,RAM 25,Shaun Hill pass complete short left to Benny Cunningham for 14 yards (tackle by Earl Thomas),6,20,0.610,1.530
4,9:16,1,10,RAM 39,Shaun Hill pass incomplete short right intended for Jared Cook,6,20,1.530,0.990
4,9:13,2,10,RAM 39,Shaun Hill pass complete short middle to Jared Cook for 20 yards (tackle by Earl Thomas),6,20,0.990,2.850
4,8:49,1,10,SEA 41,Shaun Hill pass complete short right to Zac Stacy for 6 yards (tackle by Bobby Wagner),6,20,2.850,3.120
4,8:21,2,4,SEA 35,Shaun Hill pass complete short middle to Chris Givens for 12 yards (tackle by Byron Maxwell),6,20,3.120,4.040
4,7:54,1,10,SEA 23,Shaun Hill pass complete short left to Zac Stacy for 6 yards (tackle by Earl Thomas),6,20,4.040,4.380
4,7:26,2,4,SEA 17,Penalty on Rodger Saffold: False Start 5 yards (no play),6,20,4.380,3.630
